hotel_name,hotel_url,hotel_price,hotel_rating,hotel_review,LAT,LNG
Aloha Crater Lodge,https://www.tripadvisor.com/Hotel_Review-g60607-d659084-Reviews-Aloha_Crater_Lodge-Volcano_Island_of_Hawaii_Hawaii.html,120,4.0,286,19.429775,-155.2275232
Volcano Forest Inn,https://www.tripadvisor.com/Hotel_Review-g60607-d1207156-Reviews-Volcano_Forest_Inn-Volcano_Island_of_Hawaii_Hawaii.html,142,4.5,203,19.4289676,-155.237533
At the End of the Road Bed & Breakfast,https://www.tripadvisor.com/Hotel_Review-g60607-d1059791-Reviews-At_the_End_of_the_Road_Bed_Breakfast-Volcano_Island_of_Hawaii_Hawaii.html,100,4.5,101,19.45093,-155.247322
Volcano Hale,https://www.tripadvisor.com/Hotel_Review-g60607-d75616-Reviews-Volcano_Hale-Volcano_Island_of_Hawaii_Hawaii.html,84,4.0,259,19.4417559,-155.2349524
Grand Naniloa Hotel Hilo - a DoubleTree by Hilton,https://www.tripadvisor.com/Hotel_Review-g60583-d113096-Reviews-Grand_Naniloa_Hotel_Hilo_a_DoubleTree_by_Hilton-Hilo_Island_of_Hawaii_Hawaii.html,213,3.5,1353,19.7295945,-155.064893
Hilo Seaside Hotel,https://www.tripadvisor.com/Hotel_Review-g60583-d113098-Reviews-Hilo_Seaside_Hotel-Hilo_Island_of_Hawaii_Hawaii.html,149,4.0,1280,19.723507,-155.062949
Sheraton Kauai Resort,https://www.tripadvisor.com/Hotel_Review-g60625-d111674-Reviews-Sheraton_Kauai_Resort-Poipu_Kauai_Hawaii.html,939,4.0,2739,21.8764358,-159.460717
The Inn at Kulaniapia Falls,https://www.tripadvisor.com/Hotel_Review-g60583-d146823-Reviews-The_Inn_at_Kulaniapia_Falls-Hilo_Island_of_Hawaii_Hawaii.html,199,4.5,952,19.723564,-155.134924
Hilo Bay Hale Bed & Breakfast,https://www.tripadvisor.com/Hotel_Review-g60583-d1166483-Reviews-Hilo_Bay_Hale_Bed_Breakfast-Hilo_Island_of_Hawaii_Hawaii.html,159,5.0,209,19.7195424,-155.0873389
Hilo Bay Hostel,https://www.tripadvisor.com/Hotel_Review-g60583-d293256-Reviews-Hilo_Bay_Hostel-Hilo_Island_of_Hawaii_Hawaii.html,79,4.0,207,19.7257001,-155.088042
Wild Ginger Inn Hotel & Hostel,https://www.tripadvisor.com/Hotel_Review-g60583-d113100-Reviews-Wild_Ginger_Inn_Hotel_Hostel-Hilo_Island_of_Hawaii_Hawaii.html,60,3.5,194,19.729338,-155.0892609
Sheraton Kauai Coconut Beach Resort,https://www.tripadvisor.com/Hotel_Review-g60616-d90144-Reviews-Sheraton_Kauai_Coconut_Beach_Resort-Kapaa_Kauai_Hawaii.html,149,4.0,2130,22.0567505,-159.3224762
Ka'awa Loa Plantation,https://www.tripadvisor.com/Hotel_Review-g60580-d644908-Reviews-Ka_awa_Loa_Plantation-Captain_Cook_Island_of_Hawaii_Hawaii.html,149,5.0,464,19.481627,-155.90728
Waimea Country Lodge,https://www.tripadvisor.com/Hotel_Review-g60588-d120721-Reviews-Waimea_Country_Lodge-Waimea_Island_of_Hawaii_Hawaii.html,119,5.0,111,20.0215603,-155.6689995
Hana Kai Maui,https://www.tripadvisor.com/Hotel_Review-g60630-d120746-Reviews-Hana_Kai_Maui-Hana_Maui_Hawaii.html,320,4.5,806,20.7591997,-155.9872256
Maui Seaside Hotel,https://www.tripadvisor.com/Hotel_Review-g60631-d225949-Reviews-Maui_Seaside_Hotel-Kahului_Maui_Hawaii.html,219,3.5,1320,20.8908978,-156.470059
Maui Beach Hotel,https://www.tripadvisor.com/Hotel_Review-g60631-d87161-Reviews-Maui_Beach_Hotel-Kahului_Maui_Hawaii.html,179,3.0,690,20.8903269,-156.4724778
Lahaina Inn,https://www.tripadvisor.com/Hotel_Review-g60634-d114079-Reviews-Lahaina_Inn-Lahaina_Maui_Hawaii.html,225,3.0,278,20.87556,-156.679455
"The Westin Maui Resort & Spa, Ka'anapali",https://www.tripadvisor.com/Hotel_Review-g60634-d111849-Reviews-The_Westin_Maui_Resort_Spa_Ka_anapali-Lahaina_Maui_Hawaii.html,739,4.0,6182,20.919752,-156.6950079
Belle Vue,https://www.tripadvisor.com/Hotel_Review-g60588-d75556-Reviews-Belle_Vue-Waimea_Island_of_Hawaii_Hawaii.html,165,4.0,122,34.0621218,-118.3586118
Hanalei Surfboard House,https://www.tripadvisor.com/Hotel_Review-g60612-d735011-Reviews-Hanalei_Surfboard_House-Hanalei_Kauai_Hawaii.html,165,5.0,419,22.2014937,-159.5042755
